longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-NI,FAPAR300-RT0-FAPAR,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,FCOVER300-RT0-FCOVER,ALDH-AL-DH-VI,DMP300-RT0-DMP,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
3.63,44.53,0.3353915,184.41666666666663,1234.0,984.0,1594.0,2087.0,961.0,57.0,1334.4166666666667,4.75,132.0,161.0,150.0,175.0,144.0,134.0,137.0,198.0,371.0,457.0,18.0,1.0,92.33333333333331,279.0,1334.4166666666667,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.64,44.48,0.41930556,178.88888888888889,1243.0,990.0,1605.0,2091.0,966.0,86.33333333333331,1470.0,2.0,129.0,155.0,143.0,175.0,137.0,130.0,133.0,198.0,299.0,453.0,12.0,13.0,80.33333333333333,354.0,1470.0,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.64,44.49,0.41930556,186.88888888888889,1239.0,987.0,1718.0,2179.0,964.0,75.66666666666667,1575.5555555555554,3.0,133.0,154.0,145.0,175.0,140.0,134.0,136.0,198.0,266.0,463.0,24.0,19.0,87.55555555555556,321.0,1575.5555555555554,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.64,44.5,0.41930556,170.41666666666666,1226.0,977.5,1893.0,2507.5,958.5,33.0,1497.5,7.0,128.0,152.0,144.0,175.0,138.0,130.0,132.0,198.0,366.0,473.5,14.5,3.5,82.16666666666667,285.0,1497.5,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.64,44.53,0.3353915,170.11111111111111,1233.0,982.0,1854.0,2355.0,962.0,54.33333333333334,1454.888888888889,5.0,132.0,162.0,151.0,175.0,145.0,135.0,138.0,198.0,381.0,456.0,22.0,1.0,84.55555555555556,290.0,1454.888888888889,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.64,44.54,0.3353915,164.22222222222226,1213.0,969.0,1763.0,2440.0,954.0,22.33333333333333,1655.4444444444446,8.0,132.0,163.0,153.0,175.0,146.5,135.5,139.5,198.0,478.0,504.0,19.0,3.0,97.88888888888887,287.0,1655.4444444444446,276.45773,280.98495,0.14911364,2.0436327,0.17847204,8.7710505e-05,281.09335,281.62512,281.57816,281.53918,281.60556,-4139645.5,12483643.0,-5230864.5,89168.34,14626648.0,25360476.0,0.0024781367,0.4341802,0.43366846,0.4299914,0.46725607
3.6,44.55,0.3353915,174.75,1233.0,984.0,1564.0,2047.0,961.0,17.0,1635.0,8.5,135.0,161.0,153.0,175.0,147.0,137.0,140.0,198.0,332.0,443.0,11.0,2.0,94.58333333333331,250.0,1635.0,276.18753,280.4282,0.15261817,2.1261907,0.007769823,9.82386e-05,280.49908,280.93634,280.87787,280.8154,280.89023,-4290320.0,12396524.0,-5022780.5,88309.41,14516954.0,25322414.0,0.002473218,0.35647437,0.35396236,0.3480174,0.38136557
3.6,44.56,0.3353915,176.0,1240.0,987.0,1612.0,2135.0,964.0,22.33333333333333,1637.7777777777776,8.0,137.0,161.0,155.0,175.0,150.0,140.0,144.0,198.0,358.0,452.0,10.0,1.0,100.77777777777777,263.0,1637.7777777777776,276.18753,280.4282,0.15261817,2.1261907,0.007769823,9.82386e-05,280.49908,280.93634,280.87787,280.8154,280.89023,-4290320.0,12396524.0,-5022780.5,88309.41,14516954.0,25322414.0,0.002473218,0.35647437,0.35396236,0.3480174,0.38136557
3.6,44.58,0.3353915,195.75,1232.5,983.0,1696.0,2188.5,961.0,41.0,1305.8333333333333,6.25,142.0,166.0,160.0,175.0,155.0,145.0,148.0,198.0,367.0,454.5,17.5,2.5,87.66666666666669,291.0,1305.8333333333333,276.18753,280.4282,0.15261817,2.1261907,0.007769823,9.82386e-05,280.49908,280.93634,280.87787,280.8154,280.89023,-4290320.0,12396524.0,-5022780.5,88309.41,14516954.0,25322414.0,0.002473218,0.35647437,0.35396236,0.3480174,0.38136557
3.6,44.61,0.2656396,192.5,1238.0,986.0,1469.0,1897.0,963.0,41.0,1672.583333333333,6.25,143.0,163.0,160.0,175.0,156.0,146.0,149.0,198.0,319.0,448.0,5.0,4.0,100.5,246.0,1672.583333333333,276.18753,280.4282,0.15261817,2.1261907,0.007769823,9.82386e-05,280.49908,280.93634,280.87787,280.8154,280.89023,-4290320.0,12396524.0,-5022780.5,88309.41,14516954.0,25322414.0,0.002473218,0.35647437,0.35396236,0.3480174,0.38136557
