longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALBH-AL-BH-NI,ALDH-AL-DH-NI,ALDH-AL-DH-VI,ALDH-AL-DH-BB,DMP300-RT5-DMP,FAPAR300-FAPAR,FCOVER300-FCOVER,GDMP300-RT5-GDMP,LAI300-LAI,SWI1km-SWI-020,SWI1km-SWI-040,SWI1km-SWI-060,SWI1km-SWI-100,SWI1km-SWI-002,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-015,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-RED,TOCR-REF-NOR-SWIR,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
12.62,41.57,0.18925832,198.77777777777774,792.0,1977.0,2824.0,2486.0,557.0,1686.0,10000.0,162.0,182.11111111111111,10000.0,64.1111111111111,86.5,91.0,96.0,102.0,92.5,90.0,88.5,87.0,80.0,603.0,148.0,392.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.62,41.61,0.21369708,223.41666666666663,601.0,1812.0,2674.0,2520.0,439.0,1663.0,10333.583333333334,170.83333333333334,199.83333333333331,10333.583333333334,92.83333333333331,87.0,92.0,97.0,104.0,94.5,90.5,88.5,87.5,54.0,641.0,112.0,355.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.63,41.62,0.21369708,182.0,619.0,1887.0,2783.0,2473.0,471.0,1646.0,7896.833333333332,170.91666666666666,165.41666666666666,7896.833333333332,59.33333333333334,84.0,88.0,93.5,99.5,93.0,89.0,87.0,85.0,59.0,601.0,133.0,369.0,285.7876,289.927,0.1549626,2.4842088,3.0418324,7.545935e-05,290.318,290.67508,290.61383,290.51593,290.32916,-5416306.5,13226187.0,-5952774.0,100858.87,15728042.0,28770024.0,0.003061062,0.2857523,0.31443948,0.3351905,0.37139356
12.55,41.65,0.28176,173.16666666666663,664.0,1931.0,2829.0,2520.0,567.0,1711.0,8551.583333333334,170.91666666666666,182.16666666666663,8551.583333333334,68.08333333333333,83.0,88.0,93.0,99.0,100.0,91.0,86.0,84.0,83.0,611.0,155.0,380.0,285.34146,289.6199,0.14845309,2.4931653,2.978212,7.496661e-05,290.02914,290.39774,290.33438,290.22247,290.01907,-5490647.5,13251387.0,-5854075.0,100364.03,15678276.0,28738104.0,0.0030984578,0.28100654,0.3081249,0.31738785,0.36779392
12.56,42.02,0.22012286,224.0,469.0,1992.0,3046.0,2569.0,411.0,1683.0,13029.333333333336,188.0,167.66666666666666,13029.333333333336,62.83333333333334,97.0,104.0,110.0,117.0,109.0,106.0,100.0,97.0,56.0,629.0,109.0,337.0,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.56,42.03,0.22012286,218.22222222222226,515.0,2021.0,3065.0,2637.0,441.0,1734.0,11022.555555555557,182.77777777777774,208.22222222222226,11022.555555555557,72.44444444444444,94.0,102.0,108.0,116.0,110.0,105.0,98.0,95.0,62.0,647.0,117.0,349.0,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.58,42.02,0.22012286,218.375,516.5,2180.0,3334.5,2765.0,419.0,1802.5,9445.4375,189.4375,230.3125,9445.4375,108.875,89.0,95.0,102.0,109.0,101.0,98.0,92.0,89.0,56.5,630.0,102.5,327.0,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.6,42.04,0.22012286,189.88888888888889,583.0,1919.0,2864.0,2465.0,544.0,1668.0,9262.111111111111,163.44444444444446,184.44444444444446,9262.111111111111,57.66666666666666,82.0,90.5,97.5,105.5,104.0,95.0,85.5,82.0,80.0,588.0,148.0,391.0,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.62,42.01,0.22012286,197.88888888888889,471.0,1904.0,2909.0,2501.0,441.0,1653.0,9950.555555555555,167.22222222222226,195.77777777777774,9950.555555555555,67.0,86.5,93.0,98.5,105.0,103.5,96.0,89.0,86.5,57.0,595.0,110.0,343.0,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.64,42.01,0.27696964,207.77777777777774,457.0,1830.0,2792.0,2422.0,454.0,1609.0,11054.444444444443,169.55555555555554,179.11111111111111,11054.444444444443,67.33333333333333,87.0,93.0,99.0,105.0,103.0,95.0,89.0,87.0,60.0,583.0,117.0,352.0,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.65,42.0,0.27696964,207.5,510.5,1889.5,2860.0,2500.5,484.0,1666.5,11404.833333333336,169.58333333333334,189.91666666666663,11404.833333333336,69.33333333333333,81.0,87.0,93.0,99.0,97.0,89.0,82.0,80.0,63.5,638.0,127.0,383.5,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.65,42.03,0.27696964,186.88888888888889,601.0,1910.0,2837.0,2463.0,560.0,1673.0,7450.88888888889,156.22222222222226,184.44444444444446,7450.88888888889,59.0,80.0,87.0,93.0,100.0,98.0,90.0,82.0,80.0,83.0,605.0,152.0,392.0,284.41525,289.15265,0.15803279,4.792104,2.8741302,8.673681e-05,289.18945,289.57245,289.51193,289.40067,289.1905,-5301950.0,12714766.0,-5838976.0,100967.99,15242209.0,28380176.0,0.0029432618,0.2787084,0.3004105,0.30730078,0.36120945
12.57,41.52,0.27917483,177.16666666666663,601.0,1686.0,2452.0,2184.0,474.0,1479.0,6890.333333333332,177.58333333333337,232.58333333333331,6890.333333333332,151.58333333333334,71.0,78.0,85.0,93.0,74.0,71.0,71.0,71.0,68.0,565.0,111.0,288.0,286.33484,290.38214,0.101554595,2.559361,3.0989208,5.7350382e-05,291.09253,291.4101,291.32083,291.2084,291.0142,-5332877.5,14223903.0,-6183970.0,101059.76,15854456.0,28884178.0,0.0030278154,0.26265806,0.30378324,0.33056355,0.37102225
12.59,41.51,0.23538320000000004,213.66666666666663,691.0,2062.0,3041.0,2452.0,508.0,1648.0,8900.333333333334,159.77777777777774,167.11111111111111,8900.333333333334,79.33333333333333,78.0,84.0,90.0,97.0,85.0,80.0,78.0,78.0,67.0,600.0,122.0,338.0,286.33484,290.38214,0.101554595,2.559361,3.0989208,5.7350382e-05,291.09253,291.4101,291.32083,291.2084,291.0142,-5332877.5,14223903.0,-6183970.0,101059.76,15854456.0,28884178.0,0.0030278154,0.26265806,0.30378324,0.33056355,0.37102225
12.6,41.53,0.27917483,152.44444444444446,762.0,1918.0,2744.0,2500.0,680.0,1741.0,4513.666666666667,117.33333333333331,136.77777777777777,4513.666666666667,44.444444444444436,77.0,84.0,90.0,96.0,84.0,78.0,76.0,77.0,102.0,536.0,170.0,369.0,286.33484,290.38214,0.101554595,2.559361,3.0989208,5.7350382e-05,291.09253,291.4101,291.32083,291.2084,291.0142,-5332877.5,14223903.0,-6183970.0,101059.76,15854456.0,28884178.0,0.0030278154,0.26265806,0.30378324,0.33056355,0.37102225
12.64,41.52,0.20190625,193.91666666666663,696.0,2041.0,2992.0,2596.0,618.0,1775.0,8474.166666666666,141.66666666666666,182.5,8474.166666666666,71.5,75.0,81.0,87.0,94.0,80.0,75.0,74.0,74.0,78.0,620.0,141.0,368.0,286.33484,290.38214,0.101554595,2.559361,3.0989208,5.7350382e-05,291.09253,291.4101,291.32083,291.2084,291.0142,-5332877.5,14223903.0,-6183970.0,101059.76,15854456.0,28884178.0,0.0030278154,0.26265806,0.30378324,0.33056355,0.37102225
12.57,42.16,0.33178207,218.25,512.5,2017.5,3067.5,2712.0,481.0,1792.0,10820.25,178.16666666666663,217.91666666666663,10820.25,90.16666666666669,86.0,96.0,103.0,111.0,105.0,96.0,87.0,85.0,64.0,676.0,118.0,372.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.57,42.17,0.33178207,204.22222222222226,413.0,1853.0,2855.0,2480.0,442.0,1639.0,10004.666666666666,165.88888888888889,193.66666666666663,10004.666666666666,65.1111111111111,83.0,92.0,100.0,107.0,100.0,92.0,84.0,82.0,59.0,534.0,106.0,325.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.57,42.18,0.33178207,227.66666666666663,415.0,1853.0,2852.0,2402.0,415.0,1583.0,11399.666666666664,171.11111111111111,193.55555555555557,11399.666666666664,75.8888888888889,84.0,94.0,101.0,109.0,102.0,94.0,85.0,83.0,47.0,545.0,94.0,319.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.57,42.19,0.33178207,221.91666666666663,566.0,2038.0,3073.0,2407.0,419.0,1588.0,10256.166666666666,165.41666666666666,180.91666666666663,10256.166666666666,74.75,88.0,97.0,105.0,112.0,103.0,96.0,88.0,86.0,49.0,580.0,98.0,338.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.57,42.2,0.33178207,232.55555555555557,324.0,1917.0,3024.0,2487.0,422.0,1636.0,12489.666666666664,169.77777777777774,197.66666666666663,12489.666666666664,79.8888888888889,95.5,104.0,110.5,118.0,109.5,103.0,96.0,94.5,48.0,618.0,102.0,350.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.57,42.21,0.33178207,214.55555555555557,260.0,1952.0,3127.0,2556.0,431.0,1680.0,11107.222222222224,172.88888888888889,219.33333333333331,11107.222222222224,89.0,101.0,109.0,115.0,121.0,114.0,109.0,102.0,100.0,54.0,609.0,102.0,345.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.57,42.23,0.33178207,223.88888888888889,413.0,1917.0,2966.0,2443.0,414.0,1607.0,11428.666666666664,170.55555555555554,203.77777777777774,11428.666666666664,83.66666666666667,96.0,104.0,110.0,116.0,109.0,103.0,97.0,95.0,47.0,636.0,98.0,353.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.57,42.24,0.27670372,247.77777777777774,349.0,1810.0,2827.0,2353.0,394.0,1546.0,12974.0,167.66666666666666,195.11111111111111,12974.0,103.66666666666669,108.0,115.0,120.0,125.0,120.0,115.0,109.0,107.0,47.0,580.0,92.0,343.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.58,42.18,0.33178207,245.16666666666663,424.0,1873.0,2884.0,2295.0,405.0,1516.0,12609.083333333336,186.41666666666663,190.75,12609.083333333336,102.16666666666669,84.0,94.0,101.0,109.0,99.0,92.0,85.0,83.0,46.0,533.5,91.0,311.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.58,42.2,0.33178207,229.16666666666663,344.0,1858.5,2909.5,2445.0,438.0,1616.5,12582.0,162.5,203.0,12582.0,80.5,96.0,104.0,110.5,117.0,111.0,104.5,97.0,95.0,53.5,602.0,107.5,361.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.58,42.22,0.33178207,221.75,427.5,1900.0,2929.5,2423.5,439.0,1605.0,10963.375,167.875,197.4375,10963.375,71.9375,92.0,101.0,107.0,114.0,106.0,100.0,93.0,91.0,52.5,604.0,105.5,354.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.59,42.17,0.33178207,204.88888888888889,541.0,1977.0,2984.0,2496.0,467.0,1659.0,10561.444444444445,166.33333333333334,183.33333333333331,10561.444444444445,63.66666666666666,83.0,92.0,99.0,106.0,98.0,91.0,84.0,82.0,62.0,551.0,116.0,330.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.59,42.23,0.33178207,208.88888888888889,430.0,1837.0,2821.0,2380.0,465.0,1588.0,11137.0,153.44444444444446,170.88888888888889,11137.0,57.111111111111114,90.0,98.0,105.0,112.0,104.0,98.0,90.0,88.0,55.0,579.0,116.0,360.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.59,42.25,0.27670372,221.25,432.0,1923.0,2971.0,2388.5,456.5,1591.5,11663.916666666664,172.0,188.66666666666663,11663.916666666664,71.91666666666667,90.0,99.0,106.0,112.0,103.0,98.0,91.0,89.0,52.5,572.5,107.0,343.5,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.6,42.2,0.33178207,204.77777777777774,613.0,1868.0,2751.0,2341.0,470.0,1570.0,10481.666666666666,150.55555555555554,165.77777777777774,10481.666666666666,61.555555555555564,97.5,106.5,113.0,119.5,108.0,103.5,97.5,96.5,60.0,566.0,115.0,322.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.6,42.21,0.33178207,211.77777777777774,502.0,1916.0,2902.0,2358.0,435.0,1567.0,4177.88888888889,120.77777777777777,127.22222222222223,4177.88888888889,50.33333333333334,93.0,102.0,109.0,116.0,104.0,99.0,93.0,92.0,52.0,574.0,100.0,305.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.6,42.24,0.27670372,232.0,412.0,1851.0,2859.0,2395.0,468.0,1598.0,12857.0,175.77777777777774,193.88888888888889,12857.0,79.22222222222223,96.0,105.0,110.0,117.0,110.0,105.0,97.0,95.0,56.0,615.0,115.0,371.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.6,42.25,0.27670372,224.33333333333331,474.5,1940.0,2974.0,2416.5,483.5,1618.0,10948.916666666666,164.16666666666666,181.83333333333331,10948.916666666666,75.08333333333333,97.0,106.0,112.0,119.0,109.0,105.0,98.0,96.0,57.0,593.0,114.0,346.5,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.61,42.23,0.33178207,199.0,430.0,1847.0,2836.0,2425.0,498.0,1628.0,10561.75,154.16666666666666,161.5,10561.75,53.5,85.0,95.0,103.0,110.0,101.0,95.0,87.0,84.0,65.0,596.0,125.0,358.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.62,42.23,0.33178207,210.33333333333331,430.0,1898.0,2926.0,2426.0,505.0,1632.0,11610.222222222224,158.77777777777774,174.22222222222226,11610.222222222224,58.88888888888889,89.5,99.0,106.0,112.5,101.5,97.0,90.0,88.5,68.0,604.0,128.0,352.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.63,42.2,0.33178207,217.25,441.0,1933.0,2969.0,2706.0,448.0,1776.0,11011.916666666664,164.66666666666666,209.58333333333331,11011.916666666664,87.75,94.0,102.0,108.0,115.0,108.5,104.0,96.0,93.5,59.0,680.0,107.0,364.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
12.63,42.23,0.33178207,193.25,463.0,1970.0,3027.0,2510.0,495.0,1678.0,9307.666666666666,147.66666666666666,172.41666666666663,9307.666666666666,60.58333333333334,91.0,100.0,107.0,113.0,97.0,97.0,91.0,90.0,60.0,626.0,121.0,349.0,283.7035,288.19196,0.15758158,4.3038616,2.805981,0.00012136918,287.8847,288.28232,288.24188,288.14807,287.96133,-5574650.5,12569327.0,-5504790.0,99336.85,15053960.0,28094426.0,0.0032215754,0.3105596,0.32008722,0.31122214,0.3644117
