longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-NI,FAPAR300-RT0-FAPAR,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,VCI_y,FCOVER300-RT0-FCOVER,ALDH-AL-DH-VI,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
3.62,44.58,0.3353915,188.25,1235.0,984.0,1948.5,2522.0,962.5,1.0,1511.833333333333,10.0,138.0,163.5,158.0,175.0,152.5,141.0,145.0,198.0,448.5,503.0,27.5,3.0,183.5,97.75,354.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.62,44.59,0.3353915,170.11111111111111,1211.0,969.0,1587.0,2198.0,954.0,11.666666666666664,1364.7777777777776,9.0,139.0,163.0,159.5,175.0,153.5,142.0,146.0,198.0,372.0,467.0,8.0,1.0,136.0,90.22222222222223,280.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.62,44.6,0.33064893,167.44444444444446,1224.0,977.0,1583.0,1990.0,960.0,75.66666666666667,1254.3333333333333,3.0,141.0,164.0,160.5,175.0,155.0,144.0,148.0,198.0,365.0,452.0,8.0,1.0,149.0,83.1111111111111,359.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.62,44.61,0.2656396,179.41666666666663,1235.0,984.0,1813.0,2344.0,962.0,33.0,1455.166666666667,7.0,141.0,160.5,158.5,175.0,154.5,144.0,147.5,198.0,379.0,456.0,23.0,1.0,154.0,90.33333333333331,295.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.62,44.61,0.2656396,179.41666666666663,1235.0,984.0,1813.0,2344.0,962.0,33.0,1455.166666666667,7.0,141.0,160.5,158.5,175.0,154.5,144.0,147.5,198.0,379.0,456.0,23.0,1.0,154.0,90.33333333333331,295.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.62,44.62,0.2656396,168.22222222222226,1206.0,965.0,1823.0,2483.0,953.0,65.0,1411.5555555555554,4.0,136.5,157.75,157.25,175.0,151.75,140.25,144.75,198.0,421.0,489.0,26.0,0.0,201.0,88.8888888888889,323.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.62,44.66,0.27018854,179.58333333333337,1230.5,981.0,1746.0,2349.5,960.5,65.0,1315.75,4.0,138.0,161.0,159.0,175.0,153.5,141.5,145.5,198.0,368.5,504.5,14.0,3.5,217.0,87.91666666666669,315.0,276.49527,281.04892,0.1723399,2.1853216,0.0,0.00011127049,280.9007,281.349,281.31943,281.28064,281.2958,-4471982.5,12085617.0,-4928990.0,87987.17,14475786.0,25583468.0,0.0030011097,0.3521082,0.35106876,0.34769568,0.37514
3.62,44.67,0.2656396,182.44444444444446,1239.0,986.0,1904.0,2587.0,963.0,75.66666666666667,1087.0,3.0,137.0,164.5,161.5,175.0,155.0,142.0,146.5,198.0,392.0,542.0,24.0,5.0,241.0,72.8888888888889,276.0,276.49527,281.04892,0.1723399,2.1853216,0.0,0.00011127049,280.9007,281.349,281.31943,281.28064,281.2958,-4471982.5,12085617.0,-4928990.0,87987.17,14475786.0,25583468.0,0.0030011097,0.3521082,0.35106876,0.34769568,0.37514
3.62,44.68,0.2656396,169.77777777777774,1242.0,988.0,2099.0,2917.0,964.0,22.33333333333333,1376.0,8.0,134.0,162.0,159.0,175.0,153.0,139.0,143.5,198.0,477.0,620.0,16.0,2.0,250.0,91.0,310.0,276.49527,281.04892,0.1723399,2.1853216,0.0,0.00011127049,280.9007,281.349,281.31943,281.28064,281.2958,-4471982.5,12085617.0,-4928990.0,87987.17,14475786.0,25583468.0,0.0030011097,0.3521082,0.35106876,0.34769568,0.37514
3.62,44.72,0.23011887,178.58333333333337,1211.0,968.0,2099.0,2776.0,954.0,1.0,1621.75,10.0,136.5,161.5,161.5,175.0,155.5,141.5,146.5,198.0,464.0,584.0,15.0,1.0,206.0,103.5,374.0,276.49527,281.04892,0.1723399,2.1853216,0.0,0.00011127049,280.9007,281.349,281.31943,281.28064,281.2958,-4471982.5,12085617.0,-4928990.0,87987.17,14475786.0,25583468.0,0.0030011097,0.3521082,0.35106876,0.34769568,0.37514
